HDR,ROLLING SYSTEM DEMAND
VD,20180602103000,27781
VD,20180602103500,27617
VD,20180602104000,27557
VD,20180602104500,27487
VD,20180602105000,27454
VD,20180602105500,27390
VD,20180602110000,27338
VD,20180602110500,27393
VD,20180602111000,27406
VD,20180602111500,27405
VD,20180602112000,27272
VD,20180602112500,27117
VD,20180602113000,27060
VD,20180602113500,26990
VD,20180602114000,26898
VD,20180602114500,26802
VD,20180602115000,26764
VD,20180602115500,26645
VD,20180602120000,26511
VD,20180602120500,26394
VD,20180602121000,26330
VD,20180602121500,26249
VD,20180602122000,26174
VD,20180602122500,26108
VD,20180602123000,26041
VD,20180602123500,25913
VD,20180602124000,25804
VD,20180602124500,25738
VD,20180602125000,25698
VD,20180602125500,25596
VD,20180602130000,25526
VD,20180602130500,25439
VD,20180602131000,25455
VD,20180602131500,25402
VD,20180602132000,25287
VD,20180602132500,25105
VD,20180602133000,25011
VD,20180602133500,25054
VD,20180602134000,24849
VD,20180602134500,24759
VD,20180602135000,24811
VD,20180602135500,24769
VD,20180602140000,24776
VD,20180602140500,24856
VD,20180602141000,24876
VD,20180602141500,24718
VD,20180602142000,24730
VD,20180602142500,24801
VD,20180602143000,24899
VD,20180602143500,24910
VD,20180602144000,25025
VD,20180602144500,25058
VD,20180602145000,25039
VD,20180602145500,25101
VD,20180602150000,25245
VD,20180602150500,25337
VD,20180602151000,25428
VD,20180602151500,25517
VD,20180602152000,25696
VD,20180602152500,25877
VD,20180602153000,26030
VD,20180602153500,26289
VD,20180602154000,26454
VD,20180602154500,26608
VD,20180602155000,26764
VD,20180602155500,26960
VD,20180602160000,27169
VD,20180602160500,27420
VD,20180602161000,27560
VD,20180602161500,27681
VD,20180602162000,27918
VD,20180602162500,28014
VD,20180602163000,28071
VD,20180602163500,28207
VD,20180602164000,28259
VD,20180602164500,28264
VD,20180602165000,28356
VD,20180602165500,28442
VD,20180602170000,28456
VD,20180602170500,28501
VD,20180602171000,28620
VD,20180602171500,28680
VD,20180602172000,28692
VD,20180602172500,28653
VD,20180602173000,28624
VD,20180602173500,28740
VD,20180602174000,28864
VD,20180602174500,28885
VD,20180602175000,28982
VD,20180602175500,29188
VD,20180602180000,29204
VD,20180602180500,29217
VD,20180602181000,29248
VD,20180602181500,29298
VD,20180602182000,29285
VD,20180602182500,29243
VD,20180602183000,29271
VD,20180602183500,29256
VD,20180602184000,29285
VD,20180602184500,29146
VD,20180602185000,29072
VD,20180602185500,29104
VD,20180602190000,29098
VD,20180602190500,29053
VD,20180602191000,28992
VD,20180602191500,28903
VD,20180602192000,28880
VD,20180602192500,28817
VD,20180602193000,28793
VD,20180602193500,28836
VD,20180602194000,28802
VD,20180602194500,28705
VD,20180602195000,28671
VD,20180602195500,28668
VD,20180602200000,28642
VD,20180602200500,28644
VD,20180602201000,28610
VD,20180602201500,28651
VD,20180602202000,28620
VD,20180602202500,28572
VD,20180602203000,28560
VD,20180602203500,28668
VD,20180602204000,28653
VD,20180602204500,28642
VD,20180602205000,28721
VD,20180602205500,28753
VD,20180602210000,28687
VD,20180602210500,28552
VD,20180602211000,28643
VD,20180602211500,28622
VD,20180602212000,28412
VD,20180602212500,28209
VD,20180602213000,28009
VD,20180602213500,27830
VD,20180602214000,27612
VD,20180602214500,27418
VD,20180602215000,27039
VD,20180602215500,26740
VD,20180602220000,26450
VD,20180602220500,26181
VD,20180602221000,26063
VD,20180602221500,25928
VD,20180602222000,25760
VD,20180602222500,25542
VD,20180602223000,25182
VD,20180602223500,24931
VD,20180602224000,24754
VD,20180602224500,24568
VD,20180602225000,24335
VD,20180602225500,24120
VD,20180602230000,24046
VD,20180602230500,23866
VD,20180602231000,23816
VD,20180602231500,23751
VD,20180602232000,23570
VD,20180602232500,23436
VD,20180602233000,23283
VD,20180602233500,23255
VD,20180602234000,23140
VD,20180602234500,22974
VD,20180602235000,22909
VD,20180602235500,22789
VD,20180603000000,22682
VD,20180603000500,22677
VD,20180603001000,22663
VD,20180603001500,22636
VD,20180603002000,22603
VD,20180603002500,22569
VD,20180603003000,22444
VD,20180603003500,22518
VD,20180603004000,22557
VD,20180603004500,22512
VD,20180603005000,22440
VD,20180603005500,22362
VD,20180603010000,22325
VD,20180603010500,22273
VD,20180603011000,22188
VD,20180603011500,22105
VD,20180603012000,22010
VD,20180603012500,21980
VD,20180603013000,22029
VD,20180603013500,22049
VD,20180603014000,21953
VD,20180603014500,21879
VD,20180603015000,21794
VD,20180603015500,21735
VD,20180603020000,21716
VD,20180603020500,21805
VD,20180603021000,21790
VD,20180603021500,21775
VD,20180603022000,21714
VD,20180603022500,21630
VD,20180603023000,21589
VD,20180603023500,21650
VD,20180603024000,21611
VD,20180603024500,21550
VD,20180603025000,21469
VD,20180603025500,21402
VD,20180603030000,21417
VD,20180603030500,21482
VD,20180603031000,21431
VD,20180603031500,21401
VD,20180603032000,21332
VD,20180603032500,21184
VD,20180603033000,21032
VD,20180603033500,20936
VD,20180603034000,20929
VD,20180603034500,20841
VD,20180603035000,20762
VD,20180603035500,20664
VD,20180603040000,20638
VD,20180603040500,20653
VD,20180603041000,20702
VD,20180603041500,20713
VD,20180603042000,20670
VD,20180603042500,20590
VD,20180603043000,20582
VD,20180603043500,20631
VD,20180603044000,20608
VD,20180603044500,20581
VD,20180603045000,20656
VD,20180603045500,20765
VD,20180603050000,20795
VD,20180603050500,20928
VD,20180603051000,21043
VD,20180603051500,21092
VD,20180603052000,21127
VD,20180603052500,21165
VD,20180603053000,21262
VD,20180603053500,21347
VD,20180603054000,21430
VD,20180603054500,21452
VD,20180603055000,21452
VD,20180603055500,21436
VD,20180603060000,21441
VD,20180603060500,21406
VD,20180603061000,21444
VD,20180603061500,21529
VD,20180603062000,21644
VD,20180603062500,21692
VD,20180603063000,21769
VD,20180603063500,21789
VD,20180603064000,21904
VD,20180603064500,21978
VD,20180603065000,22026
VD,20180603065500,22016
VD,20180603070000,21964
VD,20180603070500,21941
VD,20180603071000,22142
VD,20180603071500,22342
VD,20180603072000,22548
VD,20180603072500,22712
VD,20180603073000,22838
VD,20180603073500,22857
VD,20180603074000,23033
VD,20180603074500,23124
VD,20180603075000,23336
VD,20180603075500,23474
VD,20180603080000,23560
VD,20180603080500,23599
VD,20180603081000,23719
VD,20180603081500,23909
VD,20180603082000,23994
VD,20180603082500,24026
VD,20180603083000,24189
VD,20180603083500,24259
VD,20180603084000,24330
VD,20180603084500,24333
VD,20180603085000,24362
VD,20180603085500,24341
VD,20180603090000,24431
VD,20180603090500,24579
VD,20180603091000,24671
VD,20180603091500,24670
VD,20180603092000,24682
VD,20180603092500,24628
VD,20180603093000,24661
VD,20180603093500,24670
VD,20180603094000,24664
VD,20180603094500,24685
VD,20180603095000,24669
VD,20180603095500,24692
VD,20180603100000,24644
VD,20180603100500,24716
VD,20180603101000,24865
VD,20180603101500,24971
VD,20180603102000,24880
VD,20180603102500,24843
VD,20180603103000,24826
VD,20180603103500,24814
VD,20180603104000,24826
VD,20180603104500,24907
VD,20180603105000,24954
VD,20180603105500,24977
VD,20180603110000,25068
VD,20180603110500,25071
VD,20180603111000,25053
VD,20180603111500,25085
VD,20180603112000,25088
VD,20180603112500,25012
VD,20180603113000,25001
VD,20180603113500,24906
VD,20180603114000,24860
VD,20180603114500,24826
VD,20180603115000,24788
VD,20180603115500,24842
